REFERENCIA;ESTADO;MARCA;MODELO;VERSION;PRECIO CON IVA;24m 10k;24m 15k;24m 20k;24m 25k;24m 30k;36m 10k;36m 15k;36m 20k;36m 25k;36m 30k;48m 10k;48m 15k;48m 20k;48m 25k;48m 30k;60m 10k;60m 15k;60m 20k;60m 25k;60m 30k;CV;COMBUSTIBLE;CAMBIO;CARROCERIA;ETIQUETA;PLAZAS;PUERTAS;COLOR;OFERTA;PROVEEDOR (interno, NO se publica);URL ACTUAL
AUD-A1-SBADR;EN STOCK;Audi;A1;SB Adrenalin Edition 30TFSI 116CV Stronic;SI;;;;;;381,00;403,00;425,00;453,00;480,00;387,00;407,00;426,00;453,00;480,00;385,00;403,00;421,00;450,00;478,00;116;gasolina;automatico;turismo;c;5;5;Blanco Candy;;;https://movilease.es/renting-audi-a1
CUP-FORMEN-15ET;EN STOCK;Cupra;Formentor;1.5 eTSI 150CV DSG;SI;;;;;;427,75;463,07;497,04;;;438,10;467,69;491,28;;;438,21;461,24;502,08;;;150;gasolina;automatico;turismo;eco;5;5;Gris Magnetic metalizado;SI;;https://movilease.es/renting-cupra-formentor
EBR-S400-15DH;EN STOCK;Ebro;S400;1.5 DHE HEV Excellence CVT;SI;;;;;;475,48;491,48;507,49;535,10;568,11;455,42;469,46;483,49;510,85;543,60;438,17;451,61;464,04;496,15;526,17;150;hibrido;automatico;hibrido;eco;5;5;Gris Phantom, Blanco;SI;;https://movilease.es/renting-ebro-s400
EBR-S400-15DH;EN STOCK;Ebro;S400;1.5 DHE HEV Premium CVT;SI;;;;;;540,00;555,00;570,00;597,00;629,00;510,00;524,00;537,00;563,00;596,00;488,00;501,00;513,00;544,00;574,00;197;hibrido;automatico;suv;eco;5;5;Rojo Blood Stone;;;https://movilease.es/renting-ebro-s400
HON-CR-V-20I-;EN STOCK;Honda;CR-V;2.0 i-MMD PHEV 4X2 Elegance Tech;SI;;;;;;540,00;574,00;606,00;640,00;674,00;558,00;588,00;618,00;647,00;678,00;561,00;588,00;615,00;641,00;668,00;184;phev;automatico;suv;0;5;5;Negro Cristal, Diamond Dust;SI;;https://movilease.es/renting-honda-cr-v
HYU-TUCSON-16HE;EN STOCK;Hyundai;Tucson;1.6 HEV AT Klass 239CV;SI;;;;;;464,24;485,56;506,88;536,44;569,79;453,79;472,35;490,92;520,30;550,83;444,12;460,43;476,75;505,39;534,22;239;hibrido;automatico;hibrido;;5;5;Atlas White;;;https://movilease.es/renting-hyundai-tucson
JAE-5-HEV1;EN STOCK;Jaecoo;5;HEV 1.5 TGDI 224CV BUSINESS;SI;;;;;;481,00;514,00;545,00;580,00;617,00;464,00;495,00;534,00;574,00;616,00;447,00;484,00;527,00;570,00;616,00;224;hibrido;automatico;hibrido;;5;5;Blanco Aura;;;https://movilease.es/renting-jaecoo-5
KIA-NIRO-16GD;EN STOCK;Kia;Niro;1.6 GDi HEV 139CV Drive;SI;;;;;;392,00;413,00;434,00;461,00;489,00;387,00;407,00;425,00;450,00;478,00;381,00;390,00;417,00;443,00;469,00;139;hibrido;automatico;suv;eco;5;5;Snow White Pearl (Metalizado);;;https://movilease.es/renting-kia-niro
MG-HS-HEVCO;EN STOCK;MG;HS;HEV COM MY25.5;SI;;;;;;436,76;456,20;476,91;495,26;531,35;438,73;454,80;473,97;502,07;526,58;405,00;455,23;480,02;504,90;530,85;;hibrido;automatico;suv;eco;5;5;;;;https://movilease.es/renting-mg-hs
MAZ-2-1585;EN STOCK;Mazda;2;1.5 85kW 116CV CVT Centre-line;SI;;;;;;365,00;380,82;396,64;422,57;447,92;354,25;368,25;382,25;405,79;437,35;343,40;356,90;370,41;400,89;427,75;116;gasolina;automatico;turismo;eco;5;5;Blanco;;;https://movilease.es/renting-mazda-2
MAZ-3-25LE;EN STOCK;Mazda;3;2.5L e-SKY G MHEV 103kW 140CV Prime-line;SI;;;;;;333,83;351,55;369,28;396,43;423,03;329,37;345,24;361,12;385,76;418,09;322,05;337,49;352,93;384,16;412,02;140;gasolina;manual;turismo;eco;5;5;;;;https://movilease.es/renting-mazda-3
MAZ-CX-30-E-SKYA;EN STOCK;Mazda;CX-30;e-SKYACTIV G MHEV 140CV MT;SI;;;;;;338,00;355,59;373,62;;;344,40;360,27;375,12;;;345,07;359,13;373,19;;;140;hibrido;manual;hibrido;eco;5;5;Arctic White Solid;;;https://movilease.es/renting-mazda-cx-30
MAZ-CX-60-33E-;EN STOCK;Mazda;CX-60;3.3 e-SKYACTIV D MHEV 200CV 8AT RWD Prime-Line;SI;;;;;;519,00;556,37;594,29;561,35;604,58;538,26;572,40;606,52;581,90;620,31;543,80;574,50;605,51;578,56;613,62;200;diesel;automatico;suv;eco;5;5;;;;https://movilease.es/renting-mazda-cx-60
MAZ-CX-60-E-SKYA;EN STOCK;Mazda;CX-60;e-SKYACTIV D MHEV 8AT EXCLUSIVE-LINE;SI;;;;;;;;;;;;;;;;;;;;;200;hibrido;automatico;hibrido;;5;;;;;https://movilease.es/renting-mazda-cx-60
MER-CITAN-110CD;EN STOCK;Mercedes-Benz;Citan;110 CDI 70kW Furgón Base Cargo;SI;;;;;;491,00;523,00;549,00;574,00;606,00;466,00;495,00;523,00;558,00;606,00;450,00;477,00;505,00;549,00;592,00;95;diesel;manual;furgoneta;c;2;;Blanco;;;https://movilease.es/renting-mercedes-benz-citan
MER-GLCCO-2004M;EN STOCK;Mercedes-Benz;GLC Coupé;200 4MATIC;SI;;;;;;;;;;;1125,00;1174,00;1233,00;1298,00;1425,00;1048,00;1101,00;1169,00;1240,00;1362,00;204;gasolina;automatico;suv;eco;5;5;Gris Grafito, Plata Iridio, Negro Obsidiana;SI;;https://movilease.es/renting-mercedes-benz-glc-coupe
MER-GLECO-300D4;EN STOCK;Mercedes-Benz;GLE Coupé;300d 4MATIC;SI;;;;;;1672,00;1747,00;1799,00;1849,00;1937,00;1511,00;1577,00;1630,00;1713,00;1771,00;1407,00;1457,00;1630,00;1713,00;1771,00;269;diesel;automatico;hibrido;eco;5;5;Blanco, Azul, Gris Plata;;;https://movilease.es/renting-mercedes-benz-gle-coupe
NIS-INTERS-FURGÓN;EN STOCK;Nissan;Interstar;Furgón N1 L2 H2 dCi 130CV 6 M/T FWD Acenta;SI;;;;;;;;;;;574,00;612,00;651,00;697,00;738,00;555,00;592,00;643,00;688,00;736,00;130;diesel;manual;furgoneta;c;;;Blanco Mineral Sólido;;;https://movilease.es/renting-nissan-interstar
NIS-JUKE-16HY;EN STOCK;Nissan;Juke;1.6 Hybrid 145CV N-Connecta;SI;;;;;;388,00;409,00;431,00;461,00;491,00;388,00;408,00;427,00;456,00;488,00;386,00;404,00;421,00;451,00;480,00;143;hibrido;automatico;hibrido;eco;5;5;Blanco, Negro, Gris;;;https://movilease.es/renting-nissan-juke
NIS-QASHQA-DIG-T;EN STOCK;Nissan;Qashqai;DIG-T 103kW 140CV mHEV 4x2 Acenta;SI;;;;;;386,00;404,00;422,00;450,00;478,00;385,00;402,00;417,00;444,00;474,00;381,00;396,00;410,00;438,00;465,00;140;gasolina;manual;suv;eco;5;;Deep Ocean Blue;;;https://movilease.es/renting-nissan-qashqai
OPE-CORSA-12T1;EN STOCK;Opel;Corsa;1.2T 100cv GS-Line AT;SI;;;;;;;;;;;311,00;332,00;352,00;385,00;408,00;303,00;322,00;356,00;388,00;414,00;100;gasolina;manual;turismo;c;5;5;Karbon Black, Grafik Grey;;;https://movilease.es/renting-opel-corsa
OPE-MOKKA-12T;EN STOCK;Opel;Mokka;1.2 T XHT Hybrid eDCT6 GS;SI;;;;;;417,00;433,00;450,00;473,00;497,00;403,00;417,00;432,00;455,00;480,00;393,00;405,00;417,00;440,00;468,00;146;gasolina;automatico;suv;eco;5;5;Negro;;;https://movilease.es/renting-opel-mokka
PEU-208-ALLURE;EN STOCK;Peugeot;208;Allure Gasolina 100 S&S 6 Vel. MAN - TURBO;SI;;;;;;;;;;;294,00;312,00;334,00;361,00;384,00;283,00;303,00;330,00;357,00;384,00;100;gasolina;manual;turismo;c;5;5;Blanco;;;https://movilease.es/renting-peugeot-208
PEU-BOXER-33L2;EN STOCK;Peugeot;Boxer;3.3 L2 H2 BHDi 140CV;SI;;;;;;;;;;;601,00;637,00;673,00;717,00;755,00;578,00;613,00;660,00;704,00;750,00;140;diesel;manual;furgoneta;c;3;;Blanco;;;https://movilease.es/renting-peugeot-boxer
SEA-ARONA-10TS;EN STOCK;SEAT;Arona;1.0 TSI 85kW 115CV Start&Stop Style+;SI;;;;;;291,04;309,74;334,03;;;296,51;319,13;342,20;;;294,36;320,06;355,85;;;115;gasolina;manual;suv;c;5;5;Blanco con techo negro;SI;;https://movilease.es/renting-seat-arona
SEA-IBIZA-10TS;EN STOCK;SEAT;Ibiza;1.0 TSI 85kW 115CV S&S Style+;SI;;;;;;;;;;;302,46;322,01;341,96;372,56;394,44;299,50;316,05;347,02;377,91;401,99;115;gasolina;manual;turismo;c;5;5;Blanco;;;https://movilease.es/renting-seat-ibiza
SEA-IBIZA-10MP;EN STOCK;SEAT;Ibiza;1.0 MPI 70kW 80CV;SI;;;;;;;;;;;266,99;284,20;302,20;328,81;348,08;263,27;279,38;307,02;333,94;355,50;80;gasolina;manual;turismo;c;5;5;Blanco;SI;;https://movilease.es/renting-seat-ibiza
SEA-LEÓN-15TS;EN STOCK;SEAT;León;1.5 TSI 150CV FR Special Edition;SI;;;;;;383,72;413,00;436,79;;;361,12;388,35;404,99;;;359,33;397,59;422,47;;;150;gasolina;manual;turismo;c;5;5;Gris Grafeno, Gris Magnetic, Negro Metalizado, Rojo Metalizado;;;https://movilease.es/renting-seat-leon
